corridor,facility,tmc,road_order,net_link_id,allowed_use,AMLIMIT,PMLIMIT,period_operation_flag,net_lanes,lanes,mapping_lane_difference,legacy_capacity_vphpl,net_capacity_raw,capacity,IAMHRLNCAP,IAMHRLKCAP,IPMHRLNCAP,IPMHRLKCAP,recommended_capacity_vphpl,recommended_capacity_vph_link,mapping_capacity_vphpl_difference,am_capacity_identity_error_vph,pm_capacity_identity_error_vph,mapping_matches_am_network,facility_operation_review,dc_capacity_effect
I-95 NB,GP,110+04150,659.0,39107,sov;hov2;hov3;com;apv,4,9,open AM / closed PM reversible code,2,2,0,2200.0,2000,2000,2000,4000,2000,4000,2000,4000,0,0,0,True,review GP label: network row carries reversible AM-open/PM-closed code,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110P04150,660.0,38196,sov;hov2;hov3;trk;apv;com,0,0,open both periods,3,3,0,2200.0,1900,1900,1900,5700,1900,5700,1900,5700,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110+04151,661.0,39082,sov;hov2;hov3;trk;apv;com,0,0,open both periods,3,3,0,2200.0,1900,1900,1900,5700,1900,5700,1900,5700,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110P04151,662.0,38180,sov;hov2;hov3;trk;apv;com,0,0,open both periods,3,3,0,2200.0,1900,1900,1900,5700,1900,5700,1900,5700,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110+04152,663.0,39088,sov;hov2;hov3;trk;apv;com,0,0,open both periods,3,3,0,2200.0,2000,2000,2000,6000,2000,6000,2000,6000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110P04153,666.0,32087,sov;hov2;hov3;trk;apv;com,0,0,open both periods,4,4,0,2200.0,2000,2000,2000,8000,2000,8000,2000,8000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110+04154,667.0,32085,sov;hov2;hov3;trk;apv;com,0,0,open both periods,4,4,0,2200.0,2000,2000,2000,8000,2000,8000,2000,8000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110P04154,668.0,32082,sov;hov2;hov3;trk;apv;com,0,0,open both periods,4,4,0,2200.0,2000,2000,2000,8000,2000,8000,2000,8000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110+04155,669.0,29248,sov;hov2;hov3;trk;apv;com,0,0,open both periods,4,4,0,2200.0,2000,2000,2000,8000,2000,8000,2000,8000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110P04155,670.0,32081,sov;hov2;hov3;trk;apv;com,0,0,open both periods,4,4,0,2200.0,2000,2000,2000,8000,2000,8000,2000,8000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110+04156,671.0,29335,sov;hov2;hov3;trk;apv;com,0,0,open both periods,4,4,0,2200.0,2000,2000,2000,8000,2000,8000,2000,8000,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110P04156,672.0,32264,sov;hov2;hov3;trk;apv;com,0,0,open both periods,4,4,0,2200.0,1900,1900,1900,7600,1900,7600,1900,7600,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110+04157,673.0,32832,sov;hov2;hov3;trk;apv;com,0,0,open both periods,4,4,0,2200.0,1900,1900,1900,7600,1900,7600,1900,7600,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110P04157,674.0,32832,sov;hov2;hov3;trk;apv;com,0,0,open both periods,4,4,0,2200.0,1900,1900,1900,7600,1900,7600,1900,7600,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110+04158,675.0,29990,sov;hov2;hov3;trk;apv;com,0,0,open both periods,4,4,0,2200.0,1900,1900,1900,7600,1900,7600,1900,7600,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
I-95 NB,GP,110P04159,676.001,32078,sov;hov2;hov3;trk;apv;com,0,0,open both periods,4,4,0,2200.0,1900,1900,1900,7600,1900,7600,1900,7600,0,0,0,True,classification consistent with inspected period codes,capacity changes reconstructed q and D proportionally; D/C is unchanged when the same capacity is used in inverse S3 and the denominator
